iter	Logloss
0	0.6669601097
1	0.6427290279
2	0.622452812
3	0.6040807931
4	0.5864770183
5	0.5712371389
6	0.5559556333
7	0.5412648831
8	0.5266169449
9	0.5166195985
10	0.5062283319
11	0.4967637013
12	0.4895704148
13	0.4832831385
14	0.4766270924
15	0.4700544236
16	0.4649957138
17	0.4598004238
18	0.4556728745
19	0.4511106214
20	0.4471731361
21	0.4433433361
22	0.4392323874
23	0.4361004664
24	0.4317746465
25	0.4290945603
26	0.4263270091
27	0.4230682435
28	0.4207837626
29	0.4192378818
30	0.4165378251
31	0.4144110494
32	0.4113212539
33	0.4095102634
34	0.4081966033
35	0.4068861885
36	0.4046259531
37	0.4027250013
38	0.4006417241
39	0.3995319827
40	0.3983614869
41	0.397509491
42	0.3961969855
43	0.3945864812
44	0.3929598444
45	0.3915672068
46	0.3904954407
47	0.389202781
48	0.3880786233
49	0.3870901408
50	0.386284171
51	0.3852326251
52	0.3838671663
53	0.3827512776
54	0.3819682427
55	0.3810988974
56	0.3805238065
57	0.3796525889
58	0.3788985426
59	0.3779261614
60	0.377195331
61	0.3764655926
62	0.3757452155
63	0.3752990286
64	0.3744406671
65	0.3737810443
66	0.3726945499
67	0.3719034956
68	0.3710177993
69	0.3701736045
70	0.3691717667
71	0.368476228
72	0.3676221415
73	0.3666108488
74	0.3662345278
75	0.3656581574
76	0.3649863651
77	0.3642163111
78	0.3631677296
79	0.3623427253
80	0.3613150505
81	0.3607214555
82	0.360231146
83	0.3594229607
84	0.3588504908
85	0.3580130049
86	0.3575346153
87	0.3569155266
88	0.3563386882
89	0.3559814952
90	0.3556319161
91	0.3552628968
92	0.3546038357
93	0.3539054886
94	0.3532719212
95	0.3523087765
96	0.3518990047
97	0.3514998734
98	0.3506153941
99	0.3499535247
100	0.349440561
101	0.3491842508
102	0.3487845891
103	0.3481134208
104	0.3475827644
105	0.3473052666
106	0.3467743294
107	0.346037695
108	0.3452548474
109	0.3447820433
110	0.3442161264
111	0.3438845207
112	0.3435062338
113	0.3430189511
114	0.3427144618
115	0.3422523296
116	0.341443645
117	0.3407934146
118	0.3404686115
119	0.3401758861
120	0.3396098755
121	0.3391799771
122	0.338740343
123	0.3384420009
124	0.3382702225
125	0.3377875892
126	0.3374466223
127	0.3367140444
128	0.3363135714
129	0.3358883848
130	0.3354038792
131	0.3348988414
132	0.3343305217
133	0.3336230319
134	0.3331502279
135	0.3328315095
136	0.3324310053
137	0.3321002422
138	0.331787515
139	0.3314062949
140	0.3310452015
141	0.3307259526
142	0.3302297144
143	0.3296809908
144	0.3293833352
145	0.3291125775
146	0.3288842574
147	0.3284713339
148	0.3278908447
149	0.3276239251
150	0.3271945571
151	0.3265014524
152	0.3256919252
153	0.3252567221
154	0.3246611613
155	0.3243910901
156	0.3240938089
157	0.3237180495
158	0.3229542988
159	0.3224129394
160	0.3221182794
161	0.3218842489
162	0.3216554607
163	0.3213326546
164	0.3211279559
165	0.3206474445
166	0.3204504532
167	0.3200278877
168	0.3194659336
169	0.318745775
170	0.3183757259
171	0.3180797241
172	0.317446812
173	0.3170471815
174	0.3166412166
175	0.3163497706
176	0.3159760707
177	0.3156002801
178	0.3148194295
179	0.3142957317
180	0.3140079678
181	0.3135053951
182	0.3131085729
183	0.3128551023
184	0.3119618234
185	0.311703797
186	0.3107384056
187	0.3100118501
188	0.3097255839
189	0.3092844832
190	0.3084378857
191	0.3081466893
192	0.3076746654
193	0.307323526
194	0.3069795012
195	0.3066422788
196	0.3060292125
197	0.3057738384
198	0.3054810194
199	0.3050215083
