iter	Passed	Remaining
0	11	2260
1	22	2226
2	30	2020
3	41	2016
4	52	2048
5	62	2007
6	74	2065
7	87	2092
8	98	2095
9	111	2127
10	123	2116
11	131	2067
12	141	2028
13	150	1998
14	167	2063
15	175	2022
16	184	1990
17	195	1979
18	204	1952
19	214	1927
20	225	1923
21	237	1925
22	247	1903
23	256	1881
24	267	1875
25	280	1876
26	293	1882
27	306	1884
28	316	1867
29	328	1860
30	337	1839
31	346	1820
32	358	1813
33	369	1805
34	378	1786
35	387	1767
36	396	1748
37	406	1733
38	418	1729
39	440	1762
40	450	1745
41	461	1735
42	471	1722
43	482	1710
44	499	1720
45	509	1705
46	522	1700
47	534	1693
48	546	1684
49	557	1672
50	569	1663
51	581	1655
52	594	1648
53	609	1648
54	619	1633
55	629	1617
56	638	1600
57	654	1601
58	665	1591
59	675	1576
60	684	1560
61	694	1545
62	709	1542
63	721	1533
64	737	1531
65	747	1518
66	762	1512
67	772	1498
68	785	1492
69	797	1480
70	807	1466
71	816	1451
72	832	1448
73	841	1433
74	851	1418
75	862	1407
76	876	1400
77	886	1386
78	895	1372
79	907	1361
80	920	1352
81	932	1341
82	943	1329
83	955	1319
84	969	1311
85	979	1298
86	993	1290
87	1003	1277
88	1013	1264
89	1023	1250
90	1033	1237
91	1048	1230
92	1058	1217
93	1069	1206
94	1082	1196
95	1094	1185
96	1106	1174
97	1119	1165
98	1130	1153
99	1143	1143
100	1161	1138
101	1171	1125
102	1182	1113
103	1194	1102
104	1206	1091
105	1216	1078
106	1226	1066
107	1236	1053
108	1248	1042
109	1261	1032
110	1271	1019
111	1280	1006
112	1293	995
113	1319	995
114	1328	982
115	1340	970
116	1353	960
117	1364	947
118	1373	934
119	1385	923
120	1398	912
121	1407	900
122	1416	886
123	1426	874
124	1436	862
125	1450	851
126	1462	840
127	1474	829
128	1485	817
129	1501	808
130	1522	801
131	1531	789
132	1544	778
133	1558	767
134	1571	756
135	1581	744
136	1590	731
137	1603	720
138	1615	709
139	1625	696
140	1638	685
141	1650	674
142	1662	662
143	1672	650
144	1683	638
145	1693	626
146	1703	614
147	1717	603
148	1727	591
149	1736	578
150	1746	566
151	1759	555
152	1777	545
153	1792	535
154	1801	523
155	1812	511
156	1823	499
157	1838	488
158	1847	476
159	1858	464
160	1872	453
161	1887	442
162	1898	431
163	1911	419
164	1923	408
165	1933	396
166	1947	384
167	1959	373
168	1969	361
169	1982	349
170	1996	338
171	2005	326
172	2014	314
173	2024	302
174	2036	290
175	2053	280
176	2068	268
177	2079	256
178	2088	245
179	2102	233
180	2115	222
181	2127	210
182	2138	198
183	2151	187
184	2163	175
185	2175	163
186	2187	152
187	2198	140
188	2211	128
189	2222	116
190	2233	105
191	2246	93
192	2262	82
193	2273	70
194	2285	58
195	2300	46
196	2318	35
197	2335	23
198	2345	11
199	2357	0
