iter	RMSE	R2
0	5935.760351	0.13678809
1	5522.098923	0.2529097451
2	5152.642704	0.3495337559
3	4819.103234	0.4310197834
4	4522.865887	0.4988218519
5	4243.585782	0.5588049024
6	4007.031072	0.6066219465
7	3798.133448	0.6465685878
8	3620.425314	0.678867772
9	3455.944428	0.7073839069
10	3313.175961	0.7310610468
11	3192.845894	0.7502413021
12	3076.034129	0.7681820793
13	2964.429624	0.7846985296
14	2877.612976	0.7971245607
15	2794.816059	0.8086311853
16	2725.719391	0.8179766955
17	2664.438595	0.8260693426
18	2603.770104	0.8338998674
19	2553.378551	0.840266827
20	2504.02627	0.8463818721
21	2467.669558	0.8508103436
22	2429.208244	0.8554246676
23	2399.73014	0.8589121812
24	2375.484059	0.8617487879
25	2349.220847	0.8647888835
26	2325.662254	0.8674871498
27	2303.243057	0.8700296621
28	2284.61245	0.8721237815
29	2265.740325	0.8742277081
30	2245.691496	0.8764436997
31	2230.441652	0.8781160725
32	2214.007057	0.8799056133
33	2197.942301	0.8816420916
34	2185.094638	0.8830217259
35	2176.380741	0.8839528564
36	2161.426034	0.8855421818
37	2150.340649	0.8867132192
38	2136.015261	0.8882176053
39	2125.40826	0.8893250245
40	2114.892539	0.8904174716
41	2106.249706	0.8913112931
42	2099.108022	0.8920471075
43	2093.258015	0.8926479772
44	2085.604319	0.8934315763
45	2077.125887	0.8942962625
46	2070.885229	0.8949304753
47	2063.800753	0.8956481291
48	2057.89687	0.8962443107
49	2051.864536	0.8968516994
50	2042.822192	0.8977588228
51	2036.957298	0.8983450442
52	2031.414011	0.89889757
53	2025.960571	0.8994396712
54	2018.306702	0.900198049
55	2011.452747	0.9008747317
56	2009.451791	0.9010718495
57	2004.156311	0.9015925705
58	1999.011776	0.9020971326
59	1996.695961	0.9023238382
60	1988.754938	0.9030992254
61	1984.209809	0.9035416361
62	1979.224275	0.9040257505
63	1974.816606	0.9044527377
64	1971.903166	0.9047344508
65	1968.883241	0.9050260215
66	1964.31781	0.9054659606
67	1959.415704	0.9059372058
68	1953.674547	0.9064876128
69	1951.634867	0.906682769
70	1950.317254	0.9068087295
71	1947.816056	0.9070476038
72	1944.7121	0.9073436177
73	1942.002402	0.9076016465
74	1941.870354	0.9076142115
75	1936.854955	0.9080908172
76	1932.119541	0.908539685
77	1929.331464	0.9088034518
78	1926.70194	0.9090518695
79	1923.821239	0.9093236277
80	1923.097984	0.9093917939
81	1919.945715	0.9096885935
82	1915.117178	0.9101422768
83	1912.494399	0.910388231
84	1908.424499	0.9107692234
85	1903.914724	0.9111904454
86	1899.000265	0.9116483311
87	1898.089552	0.9117330532
88	1894.052679	0.9121081078
