iter	Passed	Remaining
0	206	1033422
1	266	665324
2	330	550054
3	396	495775
4	460	459942
5	524	436410
6	597	426503
7	684	426943
8	746	413796
9	807	402928
10	870	394739
11	936	389394
12	1000	383710
13	1066	379708
14	1128	374964
15	1195	372329
16	1255	367997
17	1325	366737
18	1402	367693
19	1473	366986
20	1544	366077
21	1613	365102
22	1680	363641
23	1740	360793
24	1800	358288
25	1862	356243
26	1925	354647
27	1994	354137
28	2072	355300
29	2154	356849
30	2225	356793
31	2291	355751
32	2363	355672
33	2431	355131
34	2498	354412
35	2569	354255
36	2630	352786
37	2696	352129
38	2757	350733
39	2818	349524
40	2902	351041
41	3019	356423
42	3090	356303
43	3183	358565
44	3257	358719
45	3329	358527
46	3427	361165
47	3511	362233
48	3592	362998
49	3677	364055
50	3749	363819
51	3813	362889
52	3884	362584
53	3949	361761
54	4013	360829
55	4089	361036
56	4159	360718
57	4235	360883
58	4303	360418
59	4383	360891
60	4461	361266
61	4538	361471
62	4617	361822
63	4685	361375
64	4753	360899
65	4826	360787
66	4891	360162
67	4955	359432
68	5016	358527
69	5085	358152
70	5151	357657
71	5213	356836
72	5279	356303
73	5343	355734
74	5363	352218
75	5423	351372
76	5491	351113
77	5563	351053
78	5632	350846
79	5700	350594
80	5760	349833
81	5828	349554
82	5888	348832
83	5953	348434
84	6013	347737
85	6077	347265
86	6131	346246
87	6194	345747
88	6249	344873
89	6308	344148
90	6368	343562
91	6432	343164
92	6497	342849
93	6563	342583
94	6593	340447
95	6663	340413
96	6728	340118
97	6785	339392
98	6851	339186
99	6920	339104
100	6990	339068
101	7062	339148
102	7139	339421
103	7173	337685
104	7200	335657
105	7223	333504
106	7294	333564
107	7373	333971
108	7447	334189
109	7517	334208
110	7597	334630
111	7636	333272
112	7710	333476
113	7741	331787
114	7818	332102
115	7908	332961
116	7980	333048
117	8053	333192
118	8124	333248
119	8224	334467
120	8303	334800
121	8377	334973
122	8506	337298
123	8635	339559
124	8794	342966
125	9014	348703
126	9222	353874
127	9361	356326
128	9474	357767
129	9559	358107
130	9648	358607
131	9739	359189
132	9819	359334
133	9892	359225
134	9973	359404
135	10038	359032
136	10112	358946
137	10181	358696
138	10245	358299
139	10311	357960
140	10375	357534
141	10437	357081
142	10507	356873
143	10570	356462
144	10639	356224
145	10703	355849
146	10772	355630
147	10844	355515
148	10922	355590
149	10985	355211
150	11046	354742
151	11116	354573
152	11188	354438
153	11257	354250
154	11322	353935
155	11390	353692
156	11462	353596
157	11524	353178
158	11589	352870
159	11658	352681
160	11719	352225
161	11788	352061
162	11862	352011
163	11928	351750
164	11995	351512
165	12061	351228
166	12116	350666
167	12191	350645
168	12259	350438
169	12328	350275
170	12393	349980
171	12455	349612
172	12507	348989
173	12573	348733
174	12634	348345
175	12700	348116
176	12765	347841
177	12826	347479
178	12889	347153
179	12960	347066
180	13021	346685
181	13084	346381
182	13150	346154
183	13216	345927
184	13280	345662
185	13350	345526
186	13420	345405
187	13483	345124
188	13549	344903
189	13611	344574
190	13677	344360
191	13742	344132
192	13809	343942
193	13886	344005
194	13962	344061
195	14042	344184
196	14114	344113
197	14182	343960
198	14243	343635
199	14321	343713
200	14390	343579
201	14460	343477
202	14530	343353
203	14594	343117
204	14659	342883
205	14730	342809
206	14805	342813
207	14866	342504
208	14939	342468
209	15014	342482
210	15089	342480
211	15186	342978
212	15284	343499
213	15356	343434
214	15419	343167
215	15484	342945
216	15549	342741
217	15616	342560
218	15683	342395
219	15744	342089
220	15810	341882
221	15877	341726
222	15943	341543
223	16032	341839
224	16101	341717
225	16166	341508
226	16244	341559
227	16319	341571
228	16382	341320
229	16451	341195
230	16528	341239
231	16597	341106
232	16661	340888
233	16730	340764
234	16791	340483
235	16856	340267
236	16925	340147
